kwhTotal,startTime,endTime,chargeTimeHrs,created_day,created_month,kwh_per_hour,weekday_Mon,weekday_Sat,weekday_Sun,weekday_Thu,weekday_Tue,weekday_Wed,startPeriod_Evening,startPeriod_Morning,startPeriod_Night,endPeriod_Evening,endPeriod_Morning,endPeriod_Night
7.78,15,17,1.510555556,2,11,5.150422948098441,0,0,0,0,1,0,0,0,0,0,0,0
9.74,17,19,2.177222222,3,11,4.4735902020386416,0,0,0,0,0,1,0,0,0,1,0,0
6.76,12,16,4.671666667,6,11,1.447021048772956,0,0,0,0,0,0,0,0,0,0,0,0
6.17,19,21,1.768333333,6,12,3.489161169366477,0,0,0,0,0,1,1,0,0,1,0,0
0.93,20,21,0.298611111,2,12,3.1144186058100165,0,0,0,1,0,0,1,0,0,1,0,0
2.14,14,15,0.422222222,4,12,5.0684210552991695,0,0,0,0,0,0,0,0,0,0,0,0
0.629999999999999,15,15,0.64,4,12,0.9843749999999984,0,0,0,0,0,0,0,0,0,0,0,0
1.82,20,21,1.010833333,3,12,1.8004946419787289,0,0,0,0,0,1,1,0,0,1,0,0
0.81,17,18,0.179166667,4,12,4.520930224147107,0,0,0,1,0,0,0,0,0,1,0,0
1.98,18,18,0.387777778,4,12,5.106017189050993,0,0,0,1,0,0,1,0,0,1,0,0
4.56,18,20,2.419444444,4,12,1.8847301955241755,0,0,0,1,0,0,1,0,0,1,0,0
2.05,14,15,0.690833333,5,12,2.967430640756299,0,0,0,0,0,0,0,0,0,0,0,0
5.3,17,20,3.019444444,0,1,1.755289788666832,0,0,0,0,0,1,0,0,0,1,0,0
0.629999999999999,13,14,0.365,3,1,1.7260273972602713,0,0,0,0,0,0,0,0,0,0,0,0
7.85,17,21,4.141111111,6,1,1.8956265093076368,1,0,0,0,0,0,0,0,0,1,0,0
8.49,17,19,1.658055556,4,1,5.12045568634734,0,0,0,0,0,0,0,0,0,1,0,0
7.52,19,21,2.157222222,4,1,3.4859644608278093,0,0,0,0,0,0,1,0,0,1,0,0
5.38,18,20,2.294166667,4,1,2.345078096281137,0,0,0,0,0,1,1,0,0,1,0,0
3.42,16,17,0.841944444,0,1,4.062025736225418,0,0,0,1,0,0,0,0,0,0,0,0
0.629999999999999,18,18,0.032222222,1,1,19.551724272770482,0,0,0,0,0,0,1,0,0,1,0,0
10.55,19,21,2.134166667,1,1,4.94338149083274,0,0,0,0,0,0,1,0,0,1,0,0
10.55,18,21,2.886111111,5,2,3.655437921218689,0,0,0,0,1,0,1,0,0,1,0,0
2.48,16,18,2.436944444,2,2,1.0176678447085683,0,0,0,1,0,0,0,0,0,1,0,0
4.65,13,15,1.505555556,0,2,3.088560884697104,1,0,0,0,0,0,0,0,0,0,0,0
6.29,18,21,3.114722222,0,2,2.01944171957688,1,0,0,0,0,0,1,0,0,1,0,0
3.1,15,16,0.595833333,4,2,5.202797205707859,0,0,0,1,0,0,0,0,0,0,0,0
10.55,18,21,3.658333333,4,2,2.883826879533834,0,0,0,1,0,0,1,0,0,1,0,0
8.26,18,21,3.460555556,3,2,2.3868999836395055,0,0,0,0,1,0,1,0,0,1,0,0
10.55,18,21,3.543611111,6,2,2.9771889943710024,0,0,0,1,0,0,1,0,0,1,0,0
3.02,20,21,0.709722222,1,2,4.255185911312778,0,1,0,0,0,0,1,0,0,1,0,0
7.84,16,21,4.953055556,5,3,1.5828613088142798,0,0,0,0,1,0,0,0,0,1,0,0
0.88,19,19,0.3475,0,3,2.5323741007194247,0,0,0,0,0,1,1,0,0,1,0,0
4.56,19,21,2.161111111,0,3,2.1100257070493584,0,0,0,0,0,1,1,0,0,1,0,0
2.11,14,16,1.487222222,1,3,1.418752334915017,0,0,0,1,0,0,0,0,0,0,0,0
10.55,19,21,1.998333333,1,3,5.2793995004636205,0,0,0,1,0,0,1,0,0,1,0,0
10.52,18,21,3.685555556,2,3,2.8543864934755034,0,0,0,0,0,0,1,0,0,1,0,0
9.61,17,20,3.028055556,6,3,3.173653792764164,1,0,0,0,0,0,0,0,0,1,0,0
7.24,17,21,3.803333333,3,3,1.903593339342997,0,0,0,1,0,0,0,0,0,1,0,0
10.55,12,16,3.755833333,4,3,2.808963834285242,0,0,0,0,0,0,0,0,0,0,0,0
9.17,17,20,3.053888889,1,3,3.0027287610331914,1,0,0,0,0,0,0,0,0,1,0,0
10.55,18,21,3.315555556,3,3,3.1819705089568404,0,0,0,0,0,1,1,0,0,1,0,0
0.629999999999999,11,11,0.033333333,4,3,18.90000018899997,0,0,0,1,0,0,0,1,0,0,1,0
9.52,17,19,1.914722222,4,3,4.972000580875903,0,0,0,1,0,0,0,0,0,1,0,0
6.6,12,13,1.405555556,6,3,4.695652172428252,0,0,0,0,0,0,0,0,0,0,0,0
4.62,17,18,1.151666667,2,3,4.011577422862062,1,0,0,0,0,0,0,0,0,1,0,0
3.83,11,11,0.885277778,6,3,4.326325697062736,0,0,0,1,0,0,0,1,0,0,1,0
1.07,13,14,0.367222222,6,3,2.913767021430419,0,0,0,1,0,0,0,0,0,0,0,0
7.32,17,18,1.527222222,6,3,4.793015642749075,0,0,0,1,0,0,0,0,0,1,0,0
10.55,12,15,2.549722222,0,3,4.137705632782456,0,0,0,0,0,0,0,0,0,0,0,0
4.71,16,17,1.074722222,0,3,4.3825277858635365,0,0,0,0,0,0,0,0,0,0,0,0
5.58,14,16,1.247222222,4,3,4.473942094338342,1,0,0,0,0,0,0,0,0,0,0,0
0.78,16,16,0.241111111,4,3,3.2350230429654485,1,0,0,0,0,0,0,0,0,0,0,0
4.1,16,17,1.03,5,3,3.9805825242718442,0,0,0,0,1,0,0,0,0,0,0,0
0.629999999999999,17,17,0.021111111,6,4,29.842105420221564,0,0,0,0,0,1,0,0,0,0,0,0
10.55,17,19,2.934722222,0,4,3.594888783992041,0,0,0,1,0,0,0,0,0,1,0,0
7.73,17,18,1.651111111,5,4,4.681695828040491,1,0,0,0,0,0,0,0,0,1,0,0
7.04,12,14,2.568611111,6,4,2.7407807938895115,0,0,0,0,1,0,0,0,0,0,0,0
2.13,17,18,0.828611111,6,4,2.5705665440926,0,0,0,0,1,0,0,0,0,1,0,0
6.51,12,14,2.320833333,1,4,2.805026930384923,0,0,0,0,0,1,0,0,0,0,0,0
